Date,Currency,Rate
2024-03-18,EUR,1445.9
2024-03-18,JPY(100),891.51
2024-03-18,USD,1328.4
2024-03-19,AED,362.96
2024-03-19,CNH,185.03
2024-03-19,EUR,1449.24
2024-03-19,JPY(100),894.24
2024-03-19,USD,1333
2024-03-20,AED,364.46
2024-03-20,CNH,185.64
2024-03-20,EUR,1454.15
2024-03-20,JPY(100),886.81
2024-03-20,USD,1338.5
2024-03-21,AED,364.51
2024-03-21,CNH,185.62
2024-03-21,EUR,1463.4
2024-03-21,JPY(100),887.17
2024-03-21,USD,1338.7
2024-03-22,AED,361.14
2024-03-22,CNH,184.04
2024-03-22,EUR,1440.49
2024-03-22,JPY(100),874.49
2024-03-22,USD,1326.3
2024-03-25,AED,363.84
2024-03-25,CNH,184.49
2024-03-25,EUR,1444.06
2024-03-25,JPY(100),883.87
2024-03-25,USD,1336.1
2024-03-26,AED,365.08
2024-03-26,CNH,184.88
2024-03-26,EUR,1453.12
2024-03-26,JPY(100),885.56
2024-03-26,USD,1340.7
2024-03-27,AED,364.53
2024-03-27,CNH,184.86
2024-03-27,EUR,1450.04
2024-03-27,JPY(100),883.24
2024-03-27,USD,1338.6
2024-03-28,AED,366.46
2024-03-28,CNH,185.57
2024-03-28,EUR,1455.01
2024-03-28,JPY(100),889.17
2024-03-28,USD,1345.8
2024-03-29,AED,366.76
2024-03-29,CNH,185.75
2024-03-29,EUR,1452.93
2024-03-29,JPY(100),889.48
2024-03-29,USD,1346.8
2024-04-01,AED,366.9
2024-04-01,CNH,185.63
2024-04-01,EUR,1453.44
2024-04-01,JPY(100),890.11
2024-04-01,USD,1347.4
2024-04-02,AED,366.84
2024-04-02,CNH,185.68
2024-04-02,EUR,1446.25
2024-04-02,JPY(100),888.32
2024-04-02,USD,1347.1
2024-04-03,AED,368.42
2024-04-03,CNH,186.13
2024-04-03,EUR,1456.84
2024-04-03,JPY(100),892.69
2024-04-03,USD,1353
2024-04-04,AED,367.35
2024-04-04,CNH,185.92
2024-04-04,EUR,1462.02
2024-04-04,JPY(100),889.88
2024-04-04,USD,1349.1
2024-04-05,AED,366.73
2024-04-05,CNH,185.88
2024-04-05,EUR,1459.8
2024-04-05,JPY(100),890.53
2024-04-05,USD,1346.8
2024-04-08,AED,368.08
2024-04-08,CNH,186.6
2024-04-08,EUR,1464.4
2024-04-08,JPY(100),891.37
2024-04-08,USD,1351.8
2024-04-09,AED,368.58
2024-04-09,CNH,186.63
2024-04-09,EUR,1470.28
2024-04-09,JPY(100),891.49
2024-04-09,USD,1353.6
2024-04-11,AED,368.81
2024-04-11,CNH,187.01
2024-04-11,EUR,1455.03
2024-04-11,JPY(100),885.55
2024-04-11,USD,1354.4
2024-04-12,AED,371.34
2024-04-12,CNH,188.03
2024-04-12,EUR,1462.98
2024-04-12,JPY(100),890.06
2024-04-12,USD,1363.7
2024-04-15,AED,373.49
2024-04-15,CNH,189.14
2024-04-15,EUR,1460.14
2024-04-15,JPY(100),894.8
2024-04-15,USD,1371.6
2024-04-16,AED,376.77
2024-04-16,CNH,190.58
2024-04-16,EUR,1470.6
2024-04-16,JPY(100),897.43
2024-04-16,USD,1383.7
2024-04-17,AED,379.92
2024-04-17,CNH,191.99
2024-04-17,EUR,1481.88
2024-04-17,JPY(100),901.91
2024-04-17,USD,1395.3
2024-04-18,AED,377.47
2024-04-18,CNH,190.83
2024-04-18,EUR,1479.46
2024-04-18,JPY(100),898.36
2024-04-18,USD,1386.3
2024-04-19,AED,374.63
2024-04-19,CNH,189.71
2024-04-19,EUR,1464.1
2024-04-19,JPY(100),889.77
2024-04-19,USD,1375.9
2024-04-22,AED,377.11
2024-04-22,CNH,191
2024-04-22,EUR,1476.48
2024-04-22,JPY(100),895.89
2024-04-22,USD,1385
2024-04-23,AED,375.91
2024-04-23,CNH,190.53
2024-04-23,EUR,1470.96
2024-04-23,JPY(100),891.89
2024-04-23,USD,1380.6
2024-04-24,AED,375.16
2024-04-24,CNH,189.9
2024-04-24,EUR,1474.84
2024-04-24,JPY(100),890.26
2024-04-24,USD,1377.9
2024-04-25,AED,373
2024-04-25,CNH,188.67
2024-04-25,EUR,1465.56
2024-04-25,JPY(100),882.48
2024-04-25,USD,1370
2024-04-26,AED,374.8
2024-04-26,CNH,189.51
2024-04-26,EUR,1477.09
2024-04-26,JPY(100),884.79
2024-04-26,USD,1376.6
2024-04-29,AED,374.6
2024-04-29,CNH,189.54
2024-04-29,EUR,1472.49
2024-04-29,JPY(100),869.12
2024-04-29,USD,1375.9
2024-04-30,AED,375.36
2024-04-30,CNH,190.05
2024-04-30,EUR,1477.48
2024-04-30,JPY(100),882.68
2024-04-30,USD,1378.7
2024-05-02,AED,375.19
2024-05-02,CNH,189.92
2024-05-02,EUR,1476.46
2024-05-02,JPY(100),886.17
2024-05-02,USD,1378
2024-05-03,AED,375.32
2024-05-03,CNH,190.31
2024-05-03,EUR,1479.06
2024-05-03,JPY(100),899.92
2024-05-03,USD,1378.5
2024-05-07,AED,371.69
2024-05-07,CNH,189.55
2024-05-07,EUR,1469.84
2024-05-07,JPY(100),885.83
2024-05-07,USD,1365.2
2024-05-08,AED,369.68
2024-05-08,CNH,188.13
2024-05-08,EUR,1459.7
2024-05-08,JPY(100),877.44
2024-05-08,USD,1357.8
2024-05-09,AED,371.48
2024-05-09,CNH,188.74
2024-05-09,EUR,1466.53
2024-05-09,JPY(100),877.12
2024-05-09,USD,1364.4
2024-05-10,AED,372.42
2024-05-10,CNH,189.2
2024-05-10,EUR,1475.21
2024-05-10,JPY(100),880.53
2024-05-10,USD,1367.9
2024-05-13,AED,372.42
2024-05-13,CNH,189.27
2024-05-13,EUR,1473.78
2024-05-13,JPY(100),878.01
2024-05-13,USD,1367.9
2024-05-14,AED,373.02
2024-05-14,CNH,189.21
2024-05-14,EUR,1478.27
2024-05-14,JPY(100),876.95
2024-05-14,USD,1370.1
2024-05-16,AED,372.72
2024-05-16,CNH,189.08
2024-05-16,EUR,1490.7
2024-05-16,JPY(100),885.37
2024-05-16,USD,1369
2024-05-17,AED,367.37
2024-05-17,CNH,186.89
2024-05-17,EUR,1466.46
2024-05-17,JPY(100),868.37
2024-05-17,USD,1349.4
2024-05-20,AED,368.96
2024-05-20,CNH,187.54
2024-05-20,EUR,1473.44
2024-05-20,JPY(100),870.25
2024-05-20,USD,1355.2
2024-05-21,AED,369.23
2024-05-21,CNH,187.49
2024-05-21,EUR,1472.97
2024-05-21,JPY(100),867.83
2024-05-21,USD,1356.2
2024-05-22,AED,371.47
2024-05-22,CNH,188.36
2024-05-22,EUR,1481.33
2024-05-22,JPY(100),873.24
2024-05-22,USD,1364.4
2024-05-23,AED,371.11
2024-05-23,CNH,188.01
2024-05-23,EUR,1475.69
2024-05-23,JPY(100),869.63
2024-05-23,USD,1363.1
2024-05-24,AED,371.5
2024-05-24,CNH,187.91
2024-05-24,EUR,1475.43
2024-05-24,JPY(100),869.14
2024-05-24,USD,1364.5
2024-05-27,AED,372.99
2024-05-27,CNH,188.82
2024-05-27,EUR,1486.31
2024-05-27,JPY(100),873.42
2024-05-27,USD,1370
2024-05-28,AED,371.73
2024-05-28,CNH,188.15
2024-05-28,EUR,1482.76
2024-05-28,JPY(100),870.1
2024-05-28,USD,1365.4
2024-05-29,AED,370.13
2024-05-29,CNH,187.21
2024-05-29,EUR,1475.81
2024-05-29,JPY(100),864.71
2024-05-29,USD,1359.5
2024-05-30,AED,371.58
2024-05-30,CNH,187.77
2024-05-30,EUR,1474.05
2024-05-30,JPY(100),865.63
2024-05-30,USD,1364.8
2024-05-31,AED,374.76
2024-05-31,CNH,189.18
2024-05-31,EUR,1491.09
2024-05-31,JPY(100),877.84
2024-05-31,USD,1376.5
2024-06-03,AED,376.15
2024-06-03,CNH,190.48
2024-06-03,EUR,1499.17
2024-06-03,JPY(100),878.41
2024-06-03,USD,1381.6
2024-06-04,AED,375.06
2024-06-04,CNH,189.58
2024-06-04,EUR,1502.75
2024-06-04,JPY(100),882.03
2024-06-04,USD,1377.6
2024-06-05,AED,373.84
2024-06-05,CNH,189.16
2024-06-05,EUR,1494
2024-06-05,JPY(100),886.76
2024-06-05,USD,1373.1
2024-06-07,AED,373.4
2024-06-07,CNH,188.96
2024-06-07,EUR,1493.91
2024-06-07,JPY(100),881.54
2024-06-07,USD,1371.5
2024-06-10,AED,372.15
2024-06-10,CNH,188.51
2024-06-10,EUR,1473.31
2024-06-10,JPY(100),871.55
2024-06-10,USD,1366.9
2024-06-11,AED,375.14
2024-06-11,CNH,189.53
2024-06-11,EUR,1483.24
2024-06-11,JPY(100),877.39
2024-06-11,USD,1377.9
2024-06-12,AED,375.01
2024-06-12,CNH,189.52
2024-06-12,EUR,1479.4
2024-06-12,JPY(100),876.4
2024-06-12,USD,1377.4
2024-06-13,AED,375.11
2024-06-13,CNH,189.43
2024-06-13,EUR,1489.75
2024-06-13,JPY(100),878.56
2024-06-13,USD,1377.8
2024-06-14,AED,373.26
2024-06-14,CNH,189.12
2024-06-14,EUR,1472.45
2024-06-14,JPY(100),872.58
2024-06-14,USD,1371
2024-06-17,AED,375.09
2024-06-17,CNH,189.5
2024-06-17,EUR,1474.76
2024-06-17,JPY(100),874.56
2024-06-17,USD,1377.7
2024-06-18,AED,375.82
2024-06-18,CNH,189.84
2024-06-18,EUR,1482
2024-06-18,JPY(100),875.22
2024-06-18,USD,1380.4
2024-06-19,AED,375.85
2024-06-19,CNH,189.88
2024-06-19,EUR,1482.66
2024-06-19,JPY(100),874.62
2024-06-19,USD,1380.5
2024-06-20,AED,375.93
2024-06-20,CNH,189.84
2024-06-20,EUR,1483.88
2024-06-20,JPY(100),874.01
2024-06-20,USD,1380.8
2024-06-21,AED,376.74
2024-06-21,CNH,190.01
2024-06-21,EUR,1481.15
2024-06-21,JPY(100),870.89
2024-06-21,USD,1383.8
2024-06-24,AED,378.19
2024-06-24,CNH,190.65
2024-06-24,EUR,1485.64
2024-06-24,JPY(100),869.63
2024-06-24,USD,1389.1
2024-06-25,AED,378.36
2024-06-25,CNH,190.71
2024-06-25,EUR,1491.43
2024-06-25,JPY(100),870.38
2024-06-25,USD,1389.7
2024-06-26,AED,377.46
2024-06-26,CNH,190.39
2024-06-26,EUR,1484.97
2024-06-26,JPY(100),868.26
2024-06-26,USD,1386.4
2024-06-27,AED,378.46
2024-06-27,CNH,190.61
2024-06-27,EUR,1484.35
2024-06-27,JPY(100),865
2024-06-27,USD,1390.1
2024-06-28,AED,378.22
2024-06-28,CNH,190.43
2024-06-28,EUR,1487.07
2024-06-28,JPY(100),864.31
2024-06-28,USD,1389.2
2024-07-01,AED,376.37
2024-07-01,CNH,189.35
2024-07-01,EUR,1484.35
2024-07-01,JPY(100),859.57
2024-07-01,USD,1382.4
2024-07-02,AED,375.93
2024-07-02,CNH,189.16
2024-07-02,EUR,1482.56
2024-07-02,JPY(100),855.38
2024-07-02,USD,1380.8
2024-07-03,AED,377.73
2024-07-03,CNH,190.09
2024-07-03,EUR,1491.11
2024-07-03,JPY(100),859.42
2024-07-03,USD,1387.4
2024-07-04,AED,378.27
2024-07-04,CNH,190.13
2024-07-04,EUR,1499.02
2024-07-04,JPY(100),859.59
2024-07-04,USD,1389.4
2024-07-05,AED,376.23
2024-07-05,CNH,189.26
2024-07-05,EUR,1494.04
2024-07-05,JPY(100),856.86
2024-07-05,USD,1381.9
2024-07-08,AED,375.44
2024-07-08,CNH,189.18
2024-07-08,EUR,1492.77
2024-07-08,JPY(100),858.07
2024-07-08,USD,1379
2024-07-09,AED,375.55
2024-07-09,CNH,189.13
2024-07-09,EUR,1493.68
2024-07-09,JPY(100),858.13
2024-07-09,USD,1379.4
2024-07-10,AED,376.64
2024-07-10,CNH,189.89
2024-07-10,EUR,1496.22
2024-07-10,JPY(100),857.36
2024-07-10,USD,1383.4
2024-07-11,AED,377.24
2024-07-11,CNH,190.07
2024-07-11,EUR,1501.02
2024-07-11,JPY(100),857.53
2024-07-11,USD,1385.6
2024-07-12,AED,375.74
2024-07-12,CNH,189.22
2024-07-12,EUR,1499.75
2024-07-12,JPY(100),865.95
2024-07-12,USD,1380.1
2024-07-15,AED,374.71
2024-07-15,CNH,189.27
2024-07-15,EUR,1498.31
2024-07-15,JPY(100),869.34
2024-07-15,USD,1376.3
2024-07-16,AED,376.23
2024-07-16,CNH,189.97
2024-07-16,EUR,1505.86
2024-07-16,JPY(100),874.09
2024-07-16,USD,1381.9
2024-07-17,AED,377.35
2024-07-17,CNH,190.41
2024-07-17,EUR,1510.95
2024-07-17,JPY(100),875.47
2024-07-17,USD,1386
2024-07-18,AED,376.12
2024-07-18,CNH,189.6
2024-07-18,EUR,1511.5
2024-07-18,JPY(100),886.17
2024-07-18,USD,1381.5
2024-07-19,AED,375.69
2024-07-19,CNH,189.86
2024-07-19,EUR,1504.09
2024-07-19,JPY(100),877.44
2024-07-19,USD,1379.9
2024-07-22,AED,377.51
2024-07-22,CNH,190.48
2024-07-22,EUR,1511.26
2024-07-22,JPY(100),881.81
2024-07-22,USD,1386.6
2024-07-23,AED,378.06
2024-07-23,CNH,190.5
2024-07-23,EUR,1512.25
2024-07-23,JPY(100),884.09
2024-07-23,USD,1388.6
2024-07-24,AED,377.1
2024-07-24,CNH,189.86
2024-07-24,EUR,1502.83
2024-07-24,JPY(100),889.45
2024-07-24,USD,1385.1
2024-07-25,AED,377.1
2024-07-25,CNH,190.06
2024-07-25,EUR,1501.45
2024-07-25,JPY(100),901.32
2024-07-25,USD,1385.1
2024-07-26,AED,377.18
2024-07-26,CNH,190.85
2024-07-26,EUR,1502.95
2024-07-26,JPY(100),901.92
2024-07-26,USD,1385.4
2024-07-29,AED,377.18
2024-07-29,CNH,191.1
2024-07-29,EUR,1503.78
2024-07-29,JPY(100),899.11
2024-07-29,USD,1385.4
2024-07-30,AED,376.25
2024-07-30,CNH,190.17
2024-07-30,EUR,1495.39
2024-07-30,JPY(100),898.45
2024-07-30,USD,1382
2024-07-31,AED,376.97
2024-07-31,CNH,190.39
2024-07-31,EUR,1497.51
2024-07-31,JPY(100),905.44
2024-07-31,USD,1384.6
2024-08-01,AED,375.75
2024-08-01,CNH,190.51
2024-08-01,EUR,1493.75
2024-08-01,JPY(100),918.66
2024-08-01,USD,1380.1
2024-08-02,AED,371.88
2024-08-02,CNH,188.51
2024-08-02,EUR,1473.74
2024-08-02,JPY(100),915.7
2024-08-02,USD,1365.9
2024-08-05,AED,373.75
2024-08-05,CNH,189.78
2024-08-05,EUR,1497.38
2024-08-05,JPY(100),938.67
2024-08-05,USD,1372.8
2024-08-06,AED,370.43
2024-08-06,CNH,190.72
2024-08-06,EUR,1490.67
2024-08-06,JPY(100),937.18
2024-08-06,USD,1360.6
2024-08-07,AED,373.6
2024-08-07,CNH,192.03
2024-08-07,EUR,1499.61
2024-08-07,JPY(100),949.49
2024-08-07,USD,1372.2
2024-08-08,AED,374.73
2024-08-08,CNH,191.57
2024-08-08,EUR,1504.34
2024-08-08,JPY(100),940.13
2024-08-08,USD,1376.4
2024-08-09,AED,375.08
2024-08-09,CNH,191.95
2024-08-09,EUR,1504.24
2024-08-09,JPY(100),934.32
2024-08-09,USD,1377.7
2024-08-12,AED,372.83
2024-08-12,CNH,191.2
2024-08-12,EUR,1494.63
2024-08-12,JPY(100),931.09
2024-08-12,USD,1369.4
2024-08-13,AED,372.37
2024-08-13,CNH,190.39
2024-08-13,EUR,1495.24
2024-08-13,JPY(100),929.08
2024-08-13,USD,1367.7
2024-08-14,AED,373.07
2024-08-14,CNH,190.8
2024-08-14,EUR,1506.99
2024-08-14,JPY(100),933.38
2024-08-14,USD,1370.3
2024-08-16,AED,370.65
2024-08-16,CNH,190.32
2024-08-16,EUR,1493.8
2024-08-16,JPY(100),912.44
2024-08-16,USD,1361.4
2024-08-19,AED,370.3
2024-08-19,CNH,189.42
2024-08-19,EUR,1499.44
2024-08-19,JPY(100),919.89
2024-08-19,USD,1360.1
2024-08-20,AED,364.23
2024-08-20,CNH,187.01
2024-08-20,EUR,1483.02
2024-08-20,JPY(100),911.84
2024-08-20,USD,1337.8
2024-08-21,AED,362.65
2024-08-21,CNH,186.57
2024-08-21,EUR,1482.25
2024-08-21,JPY(100),917.07
2024-08-21,USD,1332
2024-08-22,AED,362.76
2024-08-22,CNH,186.91
2024-08-22,EUR,1486.49
2024-08-22,JPY(100),919.63
2024-08-22,USD,1332.4
2024-08-23,AED,363.72
2024-08-23,CNH,187.6
2024-08-23,EUR,1484.99
2024-08-23,JPY(100),914.34
2024-08-23,USD,1335.9
2024-08-26,AED,364.85
2024-08-26,CNH,187.6
2024-08-26,EUR,1499.91
2024-08-26,JPY(100),933.05
2024-08-26,USD,1340.1
2024-08-27,AED,360.44
2024-08-27,CNH,186
2024-08-27,EUR,1478.27
2024-08-27,JPY(100),917.75
2024-08-27,USD,1323.9
2024-08-28,AED,362.22
2024-08-28,CNH,186.73
2024-08-28,EUR,1487.85
2024-08-28,JPY(100),925.21
2024-08-28,USD,1330.4
2024-08-29,AED,363.39
2024-08-29,CNH,187.39
2024-08-29,EUR,1484.79
2024-08-29,JPY(100),925.17
2024-08-29,USD,1334.7
2024-08-30,AED,363.56
2024-08-30,CNH,187.56
2024-08-30,EUR,1479.58
2024-08-30,JPY(100),921.75
2024-08-30,USD,1335.3
2024-09-02,AED,363.41
2024-09-02,CNH,188.35
2024-09-02,EUR,1474.35
2024-09-02,JPY(100),910.69
2024-09-02,USD,1334.8
2024-09-03,AED,364.5
2024-09-03,CNH,188.54
2024-09-03,EUR,1481.45
2024-09-03,JPY(100),911.12
2024-09-03,USD,1338.8
2024-09-04,AED,365.11
2024-09-04,CNH,188.31
2024-09-04,EUR,1481.27
2024-09-04,JPY(100),923.43
2024-09-04,USD,1341
2024-09-05,AED,365.37
2024-09-05,CNH,188.78
2024-09-05,EUR,1487.41
2024-09-05,JPY(100),934.22
2024-09-05,USD,1342
2024-09-06,AED,363.69
2024-09-06,CNH,188.05
2024-09-06,EUR,1484.14
2024-09-06,JPY(100),931.81
2024-09-06,USD,1335.8
2024-09-09,AED,362.21
2024-09-09,CNH,187.74
2024-09-09,EUR,1475.21
2024-09-09,JPY(100),935.29
2024-09-09,USD,1330.4
2024-09-10,AED,364.69
2024-09-10,CNH,188.51
2024-09-10,EUR,1478.47
2024-09-10,JPY(100),935.83
2024-09-10,USD,1339.5
2024-09-11,AED,366
2024-09-11,CNH,188.69
2024-09-11,EUR,1481.49
2024-09-11,JPY(100),943.87
2024-09-11,USD,1344.3
2024-09-12,AED,364.91
2024-09-12,CNH,188.25
2024-09-12,EUR,1476.01
2024-09-12,JPY(100),940.59
2024-09-12,USD,1340.3
2024-09-13,AED,364.72
2024-09-13,CNH,187.96
2024-09-13,EUR,1483.54
2024-09-13,JPY(100),945.74
2024-09-13,USD,1339.6
2024-09-19,AED,362.38
2024-09-19,CNH,187.16
2024-09-19,EUR,1479.61
2024-09-19,JPY(100),934.46
2024-09-19,USD,1331
2024-09-20,AED,362.6
2024-09-20,CNH,188.1
2024-09-20,EUR,1486.22
2024-09-20,JPY(100),932.93
2024-09-20,USD,1331.8
2024-09-23,AED,362.07
2024-09-23,CNH,188.57
2024-09-23,EUR,1484.23
2024-09-23,JPY(100),923.93
2024-09-23,USD,1329.9
2024-09-24,AED,363.59
2024-09-24,CNH,189.6
2024-09-24,EUR,1483.81
2024-09-24,JPY(100),930.24
2024-09-24,USD,1335.5
2024-09-25,AED,363.28
2024-09-25,CNH,189.32
2024-09-25,EUR,1492.75
2024-09-25,JPY(100),932.52
2024-09-25,USD,1334.3
2024-09-26,AED,361.67
2024-09-26,CNH,189.48
2024-09-26,EUR,1478.71
2024-09-26,JPY(100),918.01
2024-09-26,USD,1328.4
2024-09-27,AED,362.03
2024-09-27,CNH,189.42
2024-09-27,EUR,1486.01
2024-09-27,JPY(100),917.29
2024-09-27,USD,1329.7
2024-09-30,AED,359.27
2024-09-30,CNH,188.74
